tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,director,language,mood
tt2846134,movie,Magic Love,Gunde Jaari Gallanthayyinde,0,2013,,150,"Comedy,Drama,Romance",7.1,2038,nm5628853,Malayalam,"Fun,Romantic,Light-Hearted"
tt23770924,movie,Hostel Hudugaru Bekagiddare,Hostel Hudugaru Bekagiddare,0,2023,,144,Comedy,7.2,2008,nm14260661,Telugu,"Light-Hearted,Fun"
tt5705876,movie,Tadka,Tadka,0,2022,,115,"Comedy,Drama,Romance",6.7,2154,nm0695177,Hindi,"Fun,Romantic,Light-Hearted"
tt8560918,tvSeries,The Queen of Flow,La reina del flow,0,2018,2026.0,45,"Drama,Music,Romance",7.7,1873,nm8154805,Hindi,"Thought-Provoking,Emotional,Heartwarming"
tt4397342,movie,Cities of Last Things,Cities of Last Things,0,2018,,106,"Crime,Drama,Sci-Fi",6.3,2287,nm0387399,Hindi,"Gritty,Mind-Bending,Intense"
tt0422908,movie,Pammal K. Sambandam,Pammal K. Sambandam,0,2002,,155,Comedy,7.2,1979,nm0609706,Telugu,"Light-Hearted,Fun"
tt2078576,tvSeries,Cracked,Cracked,0,2013,2014.0,60,"Crime,Drama,Mystery",6.9,2061,nm0564260,Hindi,"Gritty,Mysterious,Intense"
tt0451983,movie,Zeher,Zeher,0,2005,,132,"Crime,Drama,Mystery",5.6,2536,nm1887138,Hindi,"Gritty,Mysterious,Intense"
tt13334870,movie,Naradan,Naradan,0,2022,,150,"Drama,Thriller",6.0,2365,nm3351235,Malayalam,"Thought-Provoking,Emotional,Suspenseful"
tt7453044,movie,Holly Slept Over,Holly Slept Over,0,2020,,87,Comedy,5.6,2520,nm1010187,Hindi,"Light-Hearted,Fun"
tt5598764,movie,Kattappanayile Rithwik Roshan,Kattappanayile Rithwik Roshan,0,2016,,140,"Comedy,Drama,Romance",7.1,1958,nm1459601,Malayalam,"Fun,Romantic,Light-Hearted"
tt27598618,movie,Dinosaurs,Dinosaurs,0,2023,,150,Crime,6.4,2158,nm14787397,Tamil,"Intense,Gritty"
tt13829184,tvMiniSeries,Manner of Death,Manner of Death,0,2020,2021.0,100,"Crime,Drama,Mystery",7.9,1741,nm2421877,Hindi,"Gritty,Mysterious,Intense"
